symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
EDUUSDT,2025-01-12 15:40:00+09:00,0.5261,0.5262,0.5261,0.5262,19.2,5089457.59999999,0.0001,-0.322,-94.872,-0.162,False
EGLDUSDT,2025-01-12 15:40:00+09:00,33.71,33.71,33.69,33.71,15.09,264485.34,0.0001,-0.148,-93.882,0.2,False
EIGENUSDT,2025-01-12 15:40:00+09:00,3.1312,3.1312,3.1276,3.1297,1192.0,4782348.0,0.0001,-0.915,-83.09,-0.488,False
ENAUSDT,2025-01-12 15:40:00+09:00,0.896,0.8967,0.8953,0.8967,75893.0,211895693.0,0.0001,-0.178,-8.509,0.093,False
ENJUSDT,2025-01-12 15:40:00+09:00,0.2016,0.2016,0.2015,0.2015,61.3,21565180.5,0.0001,-0.592,-98.446,-0.233,False
ENSUSDT,2025-01-12 15:40:00+09:00,32.038,32.04,32.027,32.04,1.0,661671.3,0.0001,-0.187,-99.847,-0.004,False
EOSUSDT,2025-01-12 15:40:00+09:00,0.8044,0.8044,0.8035,0.8039,15454.2,24487266.6,0.0001,-0.186,-57.765,-0.042,False
ETCUSDT,2025-01-12 15:40:00+09:00,25.489,25.49,25.479,25.49,25.8,1636191.3,0.0001,-0.149,-92.855,0.156,False
ETHBTCUSDT,2025-01-12 15:40:00+09:00,0.034701,0.034701,0.034701,0.034701,0.0,425329540.0,0.0,-0.052,0.0,-0.027,False
ETHFIUSDT,2025-01-12 15:40:00+09:00,1.8859,1.887,1.8855,1.887,626.2,4635396.3,0.0001,-0.206,-90.712,-0.101,False
ETHUSDT,2025-01-12 15:40:00+09:00,3270.25,3270.6,3269.23,3270.34,149.83,1136526.7,0.0001,-0.172,-80.007,-0.178,False
ETHWUSDT,2025-01-12 15:40:00+09:00,3.044,3.044,3.044,3.044,0.0,1141648.67,0.0001,-0.295,-100.0,0.004,False
FARTCOINUSDT,2025-01-12 15:40:00+09:00,0.8323,0.8327,0.8295,0.8298,78755.0,32990655.0,0.0001,1.133,-81.851,0.97,False
FBUSDT,2025-01-12 15:40:00+09:00,2.183,2.183,2.183,2.183,0.0,366637.2,0.0001,-0.046,-100.0,-0.082,False
FDUSDUSDT,2025-01-12 15:40:00+09:00,0.9982,0.9982,0.9982,0.9982,0.0,247044.0,0.0001,-0.02,-100.0,0.073,False
FIDAUSDT,2025-01-12 15:40:00+09:00,0.2136,0.2136,0.2136,0.2136,169.0,5645361.0,0.0001,-0.14,-98.927,0.48,False
FILUSDT,2025-01-12 15:40:00+09:00,5.164,5.164,5.162,5.164,475.4,7726771.4,0.0001,-0.039,-87.097,-0.53,False
FIOUSDT,2025-01-12 15:40:00+09:00,0.03609,0.03609,0.03609,0.03609,280.0,10919760.0,0.0001,-0.276,-97.189,0.226,False
FIREUSDT,2025-01-12 15:40:00+09:00,0.3106,0.3106,0.3104,0.3105,587.1,1744991.1,0.0001,-0.862,-53.364,-0.02,False
FLMUSDT,2025-01-12 15:40:00+09:00,0.06847,0.06849,0.06847,0.06849,808.0,17652110.0,0.0001,-0.854,-94.398,5.042,False
FLOCKUSDT,2025-01-12 15:40:00+09:00,0.3237,0.3237,0.3231,0.3231,2229.0,5771661.0,5e-05,-0.185,-94.728,-1.332,False
FLOWUSDT,2025-01-12 15:40:00+09:00,0.743,0.743,0.7425,0.7427,1730.8,12086213.2,0.0001,-0.429,-92.478,-0.433,False
FLRUSDT,2025-01-12 15:40:00+09:00,0.02465,0.02467,0.02465,0.02467,8260.0,159220280.0,0.0001,-0.121,-86.153,0.035,False
FLUXUSDT,2025-01-12 15:40:00+09:00,0.5743,0.5743,0.5742,0.5742,88.0,1877294.0,0.0001,0.052,-82.47,0.463,False
FORTHUSDT,2025-01-12 15:40:00+09:00,5.1425,5.1443,5.1425,5.1438,130.8,194690.2,0.0001,-0.474,-92.699,-0.534,False
