symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
DASHUSDT,2025-01-04 17:30:00+09:00,42.57,42.73,42.47,42.5,648.88,143040.01999999,0.0001,-1.002,87.497,0.254
DATAUSDT,2025-01-04 17:30:00+09:00,0.05044,0.05055,0.0502,0.05037,47040.0,10567520.0,0.0001,-1.002,-38.358,-1.338
DBRUSDT,2025-01-04 17:30:00+09:00,0.03758,0.03761,0.03748,0.03754,500220.0,86803960.0,0.0001,-0.583,-83.227,-1.728
DEEPUSDT,2025-01-04 17:30:00+09:00,0.15073,0.15307,0.15073,0.15255,3585390.0,75819190.0,-0.000286,2.348,108.766,2.964
DEGENUSDT,2025-01-04 17:30:00+09:00,0.01349,0.013625,0.013483,0.01354,34586750.0,881423700.0,0.0001,-0.74,-8.401,0.466
DENTUSDT,2025-01-04 17:30:00+09:00,0.0015641,0.0015671,0.0015459,0.0015482,9544800.0,1174597500.0,0.0001,-2.995,165.15,7.051
DEXEUSDT,2025-01-04 17:30:00+09:00,17.48,17.51,17.381,17.486,9903.5,206249.9,0.0001,0.865,-15.94,0.003
DGBUSDT,2025-01-04 17:30:00+09:00,0.015874,0.016056,0.01577,0.015795,5281530.0,212725350.0,0.0001,0.778,-50.388,0.714
DODOUSDT,2025-01-04 17:30:00+09:00,0.16583,0.16613,0.16523,0.16523,3991.0,11048543.0,0.0001,-1.754,-52.25,-0.747
DOGEUSDT,2025-01-04 17:30:00+09:00,0.38468,0.38592,0.38373,0.38408,15664459.0,2111680504.0,0.0001,-1.0,12.2,0.113
DOGSUSDT,2025-01-04 17:30:00+09:00,0.0005696,0.000571,0.000568,0.0005682,230555100.0,21760895400.0,0.0001,-1.457,-16.601,-0.154
DOGUSDT,2025-01-04 17:30:00+09:00,0.007613,0.007641,0.007598,0.0076,6665700.0,2225179800.0,0.000394,-0.718,61.18,-1.199
DOP1USDT,2025-01-04 17:30:00+09:00,0.001547,0.001549,0.001531,0.001533,7639880.0,968859090.0,0.0001,-1.478,138.284,-0.018
DOTUSDT,2025-01-04 17:30:00+09:00,7.699,7.716,7.684,7.685,78582.9,12025454.1,0.0001,-0.826,7.965,-0.423
DRIFTUSDT,2025-01-04 17:30:00+09:00,1.3884,1.3924,1.3813,1.3817,161295.0,15176740.0,0.00087,-2.028,19.705,-0.102
DUSKUSDT,2025-01-04 17:30:00+09:00,0.25335,0.25469,0.25298,0.25307,67499.0,9799410.0,0.0001,-1.36,63.69,-0.204
DYDXUSDT,2025-01-04 17:30:00+09:00,1.596,1.604,1.593,1.594,141428.6,22219204.0,0.0001,-1.239,-5.845,-0.353
